,3-Carene,CBDA,CBG,Camphene,CaryophylleneOxide,D-Limonene,Eucalyptol,Geraniol,Guaiol,Isopulegol,Label,Linalool,Myrcene,Nerolidol-1,Nerolidol-2,Ocimene,THCA,Terpinolene,TotalCBD,p-Cymene,Δ9-THC,α-Bisabolol,α-Humelene,α-Pinene,α-Terpinene,β-Caryophyllene,β-Pinene,γ-Terpinene
182,0.0,0.0,0.0,0.0,0.0,6.64,0.0,0.0,0.0,0.0,1.0,1.37,0.0,0.26,0.0,0.0,222.0,0.0,0.0,0.0,14.1,1.02,2.54,0.93,0.0,10.49,0.97,0.0
186,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,1.0,0.74,1.42,0.0,0.0,0.0,241.0,0.0,0.0,0.0,5.06,0.54,1.23,0.0,0.0,4.64,0.0,0.0
187,0.0,0.0,1.62,0.0,0.0,1.67,0.0,0.0,0.75,0.0,1.0,0.0,3.47,0.0,0.0,0.0,272.0,10.69,6.33,0.0,5.92,0.0,0.0,0.0,0.0,1.64,0.69,0.0
188,0.0,0.0,0.91,0.0,0.0,3.34,0.0,0.0,0.0,0.0,1.0,2.86,3.07,0.27,0.0,0.0,278.0,0.0,0.0,0.0,7.24,0.82,2.16,0.0,0.0,6.05,0.52,0.0
192,0.0,122.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,1.0,0.53,1.97,0.0,0.0,0.0,111.0,0.0,119.73,0.0,1.48,0.95,0.9,0.0,0.0,3.39,0.0,0.0
197,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.09,0.0,0.0,0.0,5.0,3.14,117.06,0.0,0.0,0.0,0.0,0.74,0.0,1.63,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,9.51,0.24,0.0,0.0,241.0,0.0,0.0,0.0,4.67,0.0,0.95,0.0,0.0,3.02,0.0,0.0
201,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.82,10.79,0.0,0.0,0.0,213.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,1.88,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.6,0.0,1.0,0.63,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,1.34,0.55,0.92,0.0,0.0,3.78,0.0,0.0
206,0.0,0.0,0.81,0.0,0.0,1.08,0.0,0.0,0.83,0.0,1.0,0.0,2.02,0.0,0.0,0.0,167.0,9.41,3.61,0.0,8.61,0.0,0.0,0.0,0.0,0.78,0.0,0.0
210,0.0,0.0,0.83,0.0,0.0,3.77,0.0,0.0,0.0,0.0,1.0,0.72,2.05,0.0,0.0,0.0,237.0,0.0,0.0,0.0,4.18,0.7,1.49,0.0,0.0,5.48,0.0,0.0
